feature,group,mean,std,median,min,max,q25,q75
feature_67,alz,0.004863294407964309,0.004294371695308323,0.003781977726319298,0.0002942367063394491,0.17769346534891564,0.002434707058439375,0.0058728341494928
feature_67,cntrl,0.005416755200314964,0.0040268205874761254,0.00437184654282854,0.00026851014911785805,0.08686414778359292,0.002844413646260327,0.006766556834299
feature_68,alz,0.9189185920046404,0.05525779317786569,0.9321809732347013,0.2134042049969967,0.9974774200257523,0.8972479028007478,0.9563520150441647
feature_68,cntrl,0.9179799929280854,0.05411261963521247,0.9314271979314352,0.21567302776734912,0.9947525878570337,0.8958353569590884,0.9555406574726688
feature_69,alz,0.05762079710477475,0.04038308392030372,0.047202334440233744,0.0012161447056145208,0.5410562547090473,0.029638521856083032,0.07387858872437164
feature_69,cntrl,0.055248600717076504,0.03824043632304748,0.04536066364274372,0.003078447606773826,0.4489807524790185,0.0288243060109616,0.07077745015109521
feature_70,alz,0.018765127957338545,0.0180643334320392,0.014363756637228978,0.0008517329876445629,0.4796458303633894,0.008858971016642781,0.023123003449104708
feature_70,cntrl,0.02193254287170683,0.021093656559272075,0.016244717660220422,0.0009881420357216067,0.556037213583878,0.009839103681211447,0.027117796647929467
feature_71,alz,0.004695482933246072,0.004671785695533376,0.003595644854288836,0.0003149077831516906,0.198748845799549,0.0023052178040610305,0.0055913736355830915
feature_71,cntrl,0.004838863483131173,0.003836044989573138,0.0038111271411721288,0.00024738659196943185,0.06403786138778386,0.002470985878258802,0.005969867861121539
feature_72,alz,0.9096592409557491,0.062209218350690786,0.9250372413149437,0.13336351426871806,0.9923596171817449,0.884834421741241,0.9520135000991617
feature_72,cntrl,0.8904741906950572,0.07947750606414629,0.911870660699674,0.09139264672873569,0.9945842179382965,0.8599346377800998,0.944833596059431
feature_73,alz,0.060024806404660284,0.04173776245016968,0.0489509373405128,0.0032672032171131866,0.37258017813402633,0.03088603094409112,0.07721657937944684
feature_73,cntrl,0.056178880029116585,0.03869641229133569,0.0462635907165372,0.0030694696661063684,0.47158187445456695,0.029404527325907887,0.071496747366489
feature_74,alz,0.02585200221309506,0.031047576319221264,0.01713300772208849,0.0006187253715325007,0.6083944072762647,0.010120386912107055,0.029987000270949957
feature_74,cntrl,0.048041922208887616,0.05516182112341673,0.02925394673551764,0.0013159488179561535,0.8765541397688149,0.015260270089732571,0.05925132095961293
feature_75,alz,0.004463950426495324,0.003563492394818979,0.003568432705125977,0.00025410668223756346,0.07443415358631408,0.0023448954937969036,0.005453725563597778
feature_75,cntrl,0.0053050070669385585,0.003757802252278497,0.004353080005667051,0.0002757211077336553,0.0750539568629083,0.0028557758480048465,0.006627248246633039
feature_76,alz,-5.950205780483968e-05,0.00028566127332653023,-3.200890029231204e-05,-0.00329490749656479,0.003374890133791014,-0.0001249677049886537,4.560605345679314e-05
feature_76,cntrl,-3.543996290135529e-06,0.00020619626872236314,-7.085671006799297e-06,-0.003249273433596353,0.0021603600915633065,-8.124794477958985e-05,7.345386081399875e-05
feature_77,alz,-3.627359474133611e-05,0.00026971775447011615,-4.2296996036026975e-05,-0.0033890786676070116,0.0035685655687549443,-0.00012104759818629213,3.3392077579885856e-05
feature_77,cntrl,-3.6858666270736775e-05,0.00020668701924409318,-3.1305038367327964e-05,-0.003506796348007578,0.0022425405684947013,-0.00011047458687375023,4.017445128755042e-05
feature_78,alz,-1.355660703033446e-05,0.00027035698782463386,-1.1039223812644598e-05,-0.003227635515125333,0.0033686095501761844,-7.983096941366422e-05,5.157508631848757e-05
feature_78,cntrl,-2.7680326335268885e-06,0.00019684519882427507,-7.978632687728136e-06,-0.0036134857686021815,0.0012269868915514657,-7.589476149341093e-05,6.399546839061537e-05
feature_79,alz,1.9250069788444016e-05,0.0002919554000399668,-1.5545618468963821e-06,-0.0032053490056108427,0.0037713217391205337,-7.004667473435003e-05,7.682202501220753e-05
feature_79,cntrl,-5.995464666404212e-06,0.00024214668509366235,-1.862723769464943e-06,-0.0034680508241901227,0.001339936331508161,-7.444468570727455e-05,7.674374055417676e-05
feature_80,alz,-4.1643881212403635e-07,0.00023704452679358892,-1.1978008883703072e-06,-0.0032237808583340266,0.003308715153439374,-5.1354710073946795e-05,4.5688547225494045e-05
